Legal_Entity_Structure ,Missing_Identifier,PartySharingSameAddress,HighestRiskCountry,HIFCA_ZIP,MultipleCards,SARs,TransactionAlters,SARS_LEGALSERVICES
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Uzbekistan,No,Party does not have 5 or more authorized users,0,5,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Uzbekistan,No,Party does not have 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Uzbekistan,Yes,Party has 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Honduras ,No,Party does not have 5 or more authorized users,1,0,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Another party is sharing this party's address,Congo,Yes,Party has 5 or more authorized users,1,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cyprus,No,Party does not have 5 or more authorized users,4,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Chad,Yes,Party has 5 or more authorized users,3,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Cabo Verde,Yes,Party has 5 or more authorized users,2,5,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Zambia,Yes,Party has 5 or more authorized users,5,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Panama,Yes,Party has 5 or more authorized users,4,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Cambodia,Yes,Party does not have 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Cambodia,No,Party has 5 or more authorized users,3,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Zambia,No,Party does not have 5 or more authorized users,0,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Ecuador,Yes,Party does not have 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cambodia,No,Party has 5 or more authorized users,0,5,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Cyprus,No,Party does not have 5 or more authorized users,4,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Cabo Verde,Yes,Party does not have 5 or more authorized users,1,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Afghanistan,No,Party has 5 or more authorized users,3,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cyprus,Yes,Party does not have 5 or more authorized users,3,0,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Honduras ,Yes,Party has 5 or more authorized users,5,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Venezuela,No,Party has 5 or more authorized users,1,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Saint Kitts and Nevis,Yes,Party has 5 or more authorized users,1,4,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Zambia,No,Party has 5 or more authorized users,0,1,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Mauritius,No,Party does not have 5 or more authorized users,3,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Zambia,Yes,Party does not have 5 or more authorized users,3,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Bangladesh,Yes,Party has 5 or more authorized users,5,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,South Sudan,No,Party has 5 or more authorized users,0,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Cambodia,No,Party does not have 5 or more authorized users,0,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Honduras ,No,Party has 5 or more authorized users,5,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cambodia,No,Party has 5 or more authorized users,1,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Zambia,Yes,Party does not have 5 or more authorized users,4,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Burma (Myanmar),No,Party has 5 or more authorized users,3,4,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Iraq,No,Party has 5 or more authorized users,3,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,No other unrelated party has this address,Ecuador,No,Party does not have 5 or more authorized users,2,0,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,North Korea,Yes,Party does not have 5 or more authorized users,3,0,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Turkmenistan,No,Party has 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Venezuela,Yes,Party has 5 or more authorized users,4,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Congo,No,Party has 5 or more authorized users,4,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Honduras ,Yes,Party has 5 or more authorized users,5,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Ecuador,No,Party does not have 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Indonesia,Yes,Party has 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Uzbekistan,No,Party does not have 5 or more authorized users,5,5,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Guatemala,No,Party has 5 or more authorized users,2,1,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Turkmenistan,No,Party does not have 5 or more authorized users,5,5,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Cyprus,Yes,Party has 5 or more authorized users,0,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Cyprus,Yes,Party does not have 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,Turkmenistan,No,Party has 5 or more authorized users,1,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Tajikistan,No,Party does not have 5 or more authorized users,4,2,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Another party is sharing this party's address,Burma (Myanmar),Yes,Party has 5 or more authorized users,4,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Ecuador,Yes,Party does not have 5 or more authorized users,4,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Saint Kitts and Nevis,Yes,Party does not have 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Turkmenistan,No,Party has 5 or more authorized users,3,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Bangladesh,No,Party has 5 or more authorized users,0,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Swaziland,Yes,Party has 5 or more authorized users,3,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Zambia,No,Party does not have 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,South Sudan,Yes,Party has 5 or more authorized users,5,3,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Indonesia,No,Party does not have 5 or more authorized users,1,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Uzbekistan,No,Party does not have 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Afghanistan,Yes,Party does not have 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Maldives,No,Party has 5 or more authorized users,2,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Congo,No,Party does not have 5 or more authorized users,2,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Swaziland,Yes,Party has 5 or more authorized users,3,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Ecuador,No,Party does not have 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Afghanistan,No,Party does not have 5 or more authorized users,3,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Ecuador,No,Party has 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Saint Kitts and Nevis,No,Party has 5 or more authorized users,2,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Burma (Myanmar),No,Party does not have 5 or more authorized users,5,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Panama,No,Party does not have 5 or more authorized users,5,2,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Cabo Verde,No,Party does not have 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Ecuador,Yes,Party does not have 5 or more authorized users,1,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,United States of America,Yes,Party has 5 or more authorized users,4,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Ecuador,Yes,Party does not have 5 or more authorized users,4,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Cyprus,No,Party has 5 or more authorized users,1,2,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Cabo Verde,No,Party does not have 5 or more authorized users,5,2,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Venezuela,Yes,Party has 5 or more authorized users,3,4,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Congo,No,Party has 5 or more authorized users,5,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Burma (Myanmar),Yes,Party does not have 5 or more authorized users,1,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Afghanistan,No,Party does not have 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,No other unrelated party has this address,Congo,Yes,Party does not have 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cyprus,No,Party has 5 or more authorized users,3,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
